STUDY_ID,ABUNDANCE,BIOMAS,YEAR,LATITUDE,LONGITUDE,DEPTH,SAMPLE_DESC,valid_name
60,10,,1982,9.152100,-79.846500,,1982,"Jupunba macradenia"
60,10,,1985,9.152100,-79.846500,,1985,"Jupunba macradenia"
60,165,,1985,9.152100,-79.846500,,1985,"Xylosma oligandrum"
60,245,,1990,9.152100,-79.846500,,1990,"Virola surinamensis"
60,79,,1995,9.152100,-79.846500,,1995,"Staphylea occidentalis"
60,11972,,2000,9.152100,-79.846500,,2000,"Trichilia tuberculata"
60,211,,1985,9.152100,-79.846500,,1985,"Zanthoxylum acuminatum"
60,2080,,1990,9.152100,-79.846500,,1990,"Virola sebifera"
60,719,,1995,9.152100,-79.846500,,1995,"Unonopsis pittieri"
60,5,,2000,9.152100,-79.846500,,2000,"Trichospermum galeottii"
60,1562,,1982,9.152100,-79.846500,,1982,"Acalypha diversifolia"
60,1200,,1985,9.152100,-79.846500,,1985,"Acalypha diversifolia"
60,249,,1985,9.152100,-79.846500,,1985,"Zanthoxylum ekmanii"
60,80,,1990,9.152100,-79.846500,,1990,"Vismia baccifera"
60,11,,1995,9.152100,-79.846500,,1995,"Urera baccifera"
60,258,,2000,9.152100,-79.846500,,2000,"Triplaris cumingiana"
60,79,,1982,9.152100,-79.846500,,1982,"Acalypha macrostachya"
60,66,,1985,9.152100,-79.846500,,1985,"Acalypha macrostachya"
60,243,,1985,9.152100,-79.846500,,1985,"Zanthoxylum panamense"
60,3,,1990,9.152100,-79.846500,,1990,"Vismia billbergiana"
60,12,,1995,9.152100,-79.846500,,1995,"Vachellia melanoceras"
60,175,,2000,9.152100,-79.846500,,2000,"Olmedia aspera"
60,346,,1982,9.152100,-79.846500,,1982,"Adelia triloba"
60,315,,1985,9.152100,-79.846500,,1985,"Adelia triloba"
60,1,,1985,9.152100,-79.846500,,1985,"Zanthoxylum setulosum"
60,28,,1990,9.152100,-79.846500,,1990,"Vochysia ferruginea"
60,50,,1995,9.152100,-79.846500,,1995,"Virola multiflora"
60,286,,2000,9.152100,-79.846500,,2000,"Trophis racemosa"
60,136,,1982,9.152100,-79.846500,,1982,"Aegiphila panamensis"
60,126,,1985,9.152100,-79.846500,,1985,"Aegiphila panamensis"
60,41,,1985,9.152100,-79.846500,,1985,"Casearia icosandra"
60,1045,,1990,9.152100,-79.846500,,1990,"Xylopia macrantha"
60,225,,1995,9.152100,-79.846500,,1995,"Virola surinamensis"
60,72,,2000,9.152100,-79.846500,,2000,"Staphylea occidentalis"
60,385,,1982,9.152100,-79.846500,,1982,"Alchornea costaricensis"
60,314,,1985,9.152100,-79.846500,,1985,"Alchornea costaricensis"
60,11,,1990,9.152100,-79.846500,,1990,"Jupunba macradenia"
60,145,,1990,9.152100,-79.846500,,1990,"Xylosma oligandrum"
60,1860,,1995,9.152100,-79.846500,,1995,"Virola sebifera"
60,658,,2000,9.152100,-79.846500,,2000,"Unonopsis pittieri"
60,2,,1982,9.152100,-79.846500,,1982,"Alchornea latifolia"
60,2,,1985,9.152100,-79.846500,,1985,"Alchornea latifolia"
60,817,,1990,9.152100,-79.846500,,1990,"Acalypha diversifolia"
60,169,,1990,9.152100,-79.846500,,1990,"Zanthoxylum acuminatum"
60,71,,1995,9.152100,-79.846500,,1995,"Vismia baccifera"
60,16,,2000,9.152100,-79.846500,,2000,"Urera baccifera"
60,304,,1982,9.152100,-79.846500,,1982,"Alibertia edulis"
60,342,,1985,9.152100,-79.846500,,1985,"Alibertia edulis"
60,44,,1990,9.152100,-79.846500,,1990,"Acalypha macrostachya"
